# WAVELENGTH FLUX
4844.94254985 1.03208282
4846.66415912 1.00373369
4848.38583856 0.98725988
4850.10758816 0.97673710
4851.82940793 0.95904854
4853.55129786 0.86493693
4855.27325796 0.84440035
4856.99528822 0.76827007
4858.71738865 0.70473159
4860.43955924 0.65066440
4862.16180000 0.64659907
4863.88411093 0.64659907
4865.60649202 0.64659907
4867.32894327 0.65487508
4869.05146470 0.70023357
4870.77405628 0.79025308
4872.49671804 0.85494424
4874.21944996 0.90207010
4875.94225204 0.93365651
4877.66512429 0.95483660
4879.38806671 0.96803373
4881.11107929 1.01151401
4882.83416203 1.03355202
4884.55731494 1.06397899
4886.28053802 1.06605917
4888.00383126 1.07937944
4889.72719467 1.08183430
4891.45062825 1.10630261
4893.17413199 1.12256317
4894.89770589 1.12256317
4896.62134996 1.12118785
4898.34506420 1.13438875
4900.06884860 1.13438875
4901.79270317 1.13791630
4903.51662790 1.14445085
4905.24062280 1.15155010
4906.96468786 1.15980188
4908.68882309 1.15999429
4910.41302849 1.17213267
4912.13730405 1.17215075
4913.86164977 1.16489251
4915.58606567 1.16542412
4917.31055172 1.16492418
4919.03510795 1.16318853
4920.75973433 1.16289223
4922.48443089 1.15218803
4924.20919761 1.15205379
4925.93403449 1.16052961
4927.65894154 1.15326793
4929.38391876 1.15343421
4931.10896614 1.15423044
4932.83408369 1.16495803
4934.55927140 1.16625441
4936.28452928 1.17080715
4938.00985732 1.17072648
4939.73525553 1.17721077
4941.46072390 1.18623703
4943.18626244 1.19703065
4944.91187115 1.19157819
4946.63755002 1.19175265
4948.36329906 1.18297880
4950.08911826 1.18694730
4951.81500763 1.17595221
4953.54096716 1.17795271
4955.26699686 1.17321332
4956.99309672 1.17373632
4958.71926675 1.17922876
4960.44550695 1.18432496
4962.17181731 1.18516227
4963.89819784 1.18579326
4965.62464853 1.18624587
4967.35116939 1.18677044
4969.07776041 1.18663705
4970.80442160 1.18163923
4972.53115295 1.18228559
4974.25795447 1.18228559
4975.98482616 1.18739174
4977.71176801 1.17634500
4979.43878003 1.17823498
4981.16586221 1.15493850
4982.89301456 1.13238373
4984.62023707 1.13325430
4986.34752975 1.13350732
4988.07489259 1.13375487
4989.80232560 1.14539460
4991.52982878 1.15703894
4993.25740212 1.15713888
4994.98504562 1.15803654
4996.71275930 1.15327894
4998.44054313 1.15367429
5000.16839714 1.15201674
5001.89632131 1.13987967
5003.62431564 1.13867542
5005.35238014 1.11850384
5007.08051480 1.11092517
5008.80871963 1.12154748
5010.53699463 1.11036997
5012.26533979 1.10212385
5013.99375512 1.09945913
5015.72224061 1.09864776
5017.45079627 1.10475507
5019.17942209 1.10421091
5020.90811808 1.10619368
5022.63688424 1.11006561
5024.36572056 1.12123313
5026.09462705 1.12866124
5027.82360370 1.12950177
5029.55265051 1.12987581
5031.28176750 1.13093689
5033.01095464 1.13166453
5034.74021196 1.13196901
5036.46953944 1.13107668
5038.19893708 1.12145029
5039.92840489 1.12005711
5041.65794287 1.10271486
5043.38755101 1.11122448
5045.11722932 1.12007414
5046.84697779 1.10664599
5048.57679643 1.10909280
5050.30668523 1.12577235
5052.03664420 1.13668524
5053.76667333 1.13687542
5055.49677263 1.13735562
5057.22694210 1.14582019
5058.95718173 1.14649291
5060.68749153 1.13656200
5062.41787149 1.13981564
5064.14832162 1.13217095
5065.87884191 1.13320284
5067.60943237 1.13480445
5069.34009299 1.12792498
5071.07082378 1.12831304
5072.80162474 1.12975685
5074.53249586 1.12730683
5076.26343715 1.09592004
5077.99444860 1.09507211
5079.72553022 1.09523586
5081.45668200 1.09561449
5083.18790395 1.09869850
5084.91919606 1.10007987
5086.65055834 1.10320141
5088.38199079 1.11435427
5090.11349340 1.11914950
5091.84506618 1.12042400
5093.57670912 1.12137703
5095.30842223 1.12138399
5097.04020550 1.11608046
5098.77205894 1.11167002
5100.50398254 1.09927308
5102.23597631 1.09487567
5103.96804025 1.10628108
5105.70017435 1.10658867
5107.43237861 1.09746514
5109.16465305 1.09752653
5110.89699764 1.11034078
5112.62941241 1.11035298
5114.36189733 1.11094759
5116.09445243 1.11139890
5117.82707769 1.09867333
5119.55977311 1.09920749
5121.29253870 1.09571524
5123.02537446 1.09611444
5124.75828038 1.09670798
5126.49125647 1.09212320
5128.22430272 1.08407733
5129.95741914 1.08420650
5131.69060572 1.08736810
5133.42386247 1.08953609
5135.15718939 1.08653747
5136.89058647 1.07736392
5138.62405371 1.05866521
5140.35759112 1.05894805
5142.09119870 1.06223890
5143.82487644 1.06596705
5145.55862435 1.07007839
5147.29244243 1.07268502
5149.02633067 1.06220232
5150.76028907 1.07721992
5152.49431764 1.07460371
5154.22841638 1.06405905
5155.96258528 1.06432598
5157.69682434 1.06747545
5159.43113358 1.06801239
5161.16551297 1.07104858
5162.89996254 1.06991022
5164.63448227 1.01880000
5166.36907216 1.00786417
5168.10373222 1.00955944
5169.83846245 1.01080361
5171.57326284 1.00220560
5173.30813340 1.01385233
5175.04307412 1.01870610
5176.77808501 1.01949195
5178.51316606 1.03887407
5180.24831728 1.04381202
5181.98353866 1.03112982
5183.71883021 1.04686684
5185.45419193 1.03590103
5187.18962381 1.03086969
5188.92512585 1.03353671
5190.66069807 1.03110521
5192.39634044 1.02552101
5194.13205299 1.03047554
5195.86783570 1.03338716
5197.60368857 1.03420603
5199.33961161 1.02568475
5201.07560482 1.01924429
5202.81166819 1.03391046
5204.54780172 1.02125563
5206.28400542 1.02477745
5208.02027929 1.01824487
5209.75662333 1.02380217
5211.49303752 1.03869937
5213.22952189 1.04365047
5214.96607642 1.03632514
5216.70270111 1.03763754
5218.43939597 1.03928965
5220.17616100 1.04173904
5221.91299619 1.01419647
5223.64990155 1.01575919
5225.38687707 1.01649257
5227.12392276 1.01608076
5228.86103861 1.00206009
5230.59822463 1.00402730
5232.33548082 1.00482558
5234.07280717 1.00764693
5235.81020368 1.00764693
5237.54767037 1.02400715
5239.28520721 1.02400715
5241.02281423 1.02442347
5242.76049140 1.02618677
5244.49823875 1.02675354
5246.23605626 1.03034062
5247.97394393 1.03288758
5249.71190177 1.01831067
5251.44992978 1.02155813
5253.18802795 1.02155813
5254.92619629 1.02294737
5256.66443479 1.02299404
5258.40274346 1.02094078
5260.14112229 1.01815418
5261.87957129 1.01593231
5263.61809046 1.00621795
5265.35667979 0.99084760
5267.09533928 0.98163940
5268.83406894 0.98195734
5270.57286877 0.96085535
5272.31173876 0.96161877
5274.05067892 0.96169331
5275.78968924 0.98471536
5277.52876973 0.98737057
5279.26792039 0.99002079
5281.00714121 0.99388913
5282.74643219 0.99556705
5284.48579334 0.99897524
5286.22522466 1.00904534
5287.96472614 1.01099298
5289.70429779 1.02543795
5291.44393960 1.02820265
5293.18365158 1.02180794
5294.92343373 1.02242064
5296.66328604 1.02226169
5298.40320851 1.02362541
5300.14320115 1.02434326
5301.88326396 1.01907000
5303.62339693 1.01083794
5305.36360007 1.01073441
5307.10387337 1.01458245
5308.84421684 1.01634066
5310.58463047 1.00105595
5312.32511427 1.00247825
5314.06566824 0.98141208
5315.80629237 1.00426557
5317.54698667 0.98709969
5319.28775113 0.98363105
5321.02858576 0.98434937
5322.76949055 0.98554400
5324.51046551 0.97532882
5326.25151063 0.98489377
5327.99262592 0.97935348
5329.73381138 0.96782547
5331.47506700 0.98029838
5333.21639278 0.96919448
5334.95778873 0.97004149
5336.69925485 0.97137158
5338.44079113 0.97198095
5340.18239758 0.97200528
5341.92407420 0.97391562
5343.66582098 0.97442061
5345.40763792 0.98765604
5347.14952503 0.98813467
5348.89148231 0.99183901
5350.63350975 0.99532197
5352.37560736 0.99616269
5354.11777513 0.99749341
5355.86001307 0.99836339
5357.60232117 0.99858181
5359.34469944 0.99889265
5361.08714787 0.99778184
5362.82966648 0.97542318
5364.57225524 0.96762995
5366.31491417 0.97924415
5368.05764327 0.97013481
5369.80044253 0.96297888
5371.54331196 0.96476683
5373.28625155 0.96453263
5375.02926131 0.95342710
5376.77234124 0.96208500
5378.51549133 0.95543883
5380.25871158 0.96520570
5382.00200200 0.95892843
5383.74536259 0.95681723
5385.48879334 0.96395206
5387.23229426 0.96428520
5388.97586534 0.96770906
5390.71950659 0.97218664
5392.46321801 0.96829814
5394.20699959 0.96960316
5395.95085133 0.97148629
5397.69477324 0.97178271
5399.43876532 0.97032542
5401.18282756 0.96110491
5402.92695997 0.95580497
5404.67116254 0.94899017
5406.41543528 0.94514545
5408.15977819 0.94349255
5409.90419126 0.94103905
5411.64867449 0.94459534
5413.39322789 0.94890817
5415.13785146 0.95272231
5416.88254519 0.95797615
5418.62730909 0.95538649
5420.37214315 0.95130753
5422.11704738 0.95088766
5423.86202178 0.95158925
5425.60706633 0.94453413
5427.35218106 0.94021672
5429.09736595 0.94146552
5430.84262101 0.95344589
5432.58794623 0.94161563
5434.33334162 0.94175216
5436.07880717 0.94225551
5437.82434289 0.94352829
5439.56994877 0.94389340
5441.31562482 0.94381930
5443.06137104 0.94567499
5444.80718742 0.94801849
5446.55307396 0.94824977
5448.29903067 0.94866330
5450.04505755 0.95193445
5451.79115459 0.95210877
5453.53732180 0.95602972
5455.28355918 0.94758186
5457.02986672 0.94780062
5458.77624442 0.94809136
5460.52269229 0.94033642
5462.26921033 0.94193623
5464.01579853 0.93861361
5465.76245690 0.94402510
5467.50918543 0.94441911
5469.25598413 0.94088710
5471.00285299 0.93645397
5472.74979202 0.94047562
5474.49680121 0.92706108
5476.24388057 0.92955619
5477.99103010 0.92713759
5479.73824979 0.92492392
5481.48553965 0.93226127
5483.23289967 0.93947351
5484.98032986 0.93769304
5486.72783021 0.93233683
5488.47540073 0.93424754
5490.22304142 0.93542079
5491.97075227 0.93659556
5493.71853328 0.93123979
5495.46638446 0.93243379
5497.21430581 0.93520936
5498.96229732 0.93089621
5500.71035900 0.92653041
5502.45849084 0.92706213
5504.20669285 0.91697470
5505.95496503 0.92188088
5507.70330737 0.92271432
5509.45171987 0.91881832
5511.20020254 0.92353839
5512.94875538 0.92464413
5514.69737838 0.92500954
5516.44607155 0.92569800
5518.19483488 0.92777593
5519.94366838 0.92785218
5521.69257205 0.92818261
5523.44154588 0.92965790
5525.19058987 0.92537893
5526.93970403 0.91755900
5528.68888836 0.91281610
5530.43814285 0.90297963
5532.18746751 0.90530740
5533.93686233 0.91132044
5535.68632732 0.89677513
5537.43586247 0.89883395
5539.18546779 0.91503677
5540.93514328 0.91642798
5542.68488893 0.91729880
5544.43470474 0.91807272
5546.18459073 0.91009211
5547.93454687 0.91211847
5549.68457319 0.91279232
5551.43466966 0.91352051
5553.18483631 0.91425859
5554.93507312 0.91187042
5556.68538009 0.90656300
5558.43575723 0.90686400
5560.18620454 0.90698137
5561.93672201 0.90752991
5563.68730965 0.90824911
5565.43796745 0.90018629
5567.18869542 0.90035135
5568.93949355 0.90362715
5570.69036185 0.90036075
5572.44130032 0.88463570
5574.19230895 0.87792374
5575.94338774 0.88134952
5577.69453671 0.87721621
5579.44575583 0.88208564
5581.19704513 0.88726529
5582.94840458 0.88439422
5584.69983421 0.89146907
5586.45133400 0.89234426
5588.20290395 0.89442826
5589.95454407 0.89684921
5591.70625436 0.89708833
5593.45803481 0.87445234
5595.20988542 0.87496580
5596.96180621 0.86962603
5598.71379715 0.87068975
5600.46585827 0.87727982
5602.21798955 0.87801515
5603.97019099 0.87702389
5605.72246260 0.87911150
5607.47480438 0.88747332
5609.22721632 0.88820715
5610.97969843 0.89344452
5612.73225070 0.88880191
5614.48487314 0.87867387
5616.23756574 0.87879332
5617.99032851 0.87891278
5619.74316144 0.88004395
5621.49606454 0.88222942
5623.24903781 0.86414834
5625.00208124 0.86651198
5626.75519483 0.89071880
5628.50837860 0.89138251
5630.26163252 0.89463014
5632.01495662 0.87285372
5633.76835088 0.88097445
5635.52181530 0.88262420
5637.27534989 0.88205079
5639.02895465 0.87114638
5640.78262957 0.86271798
5642.53637465 0.86775338
5644.29018990 0.87405296
5646.04407532 0.87238089
5647.79803091 0.87205867
5649.55205665 0.86363193
5651.30615257 0.86427671
5653.06031865 0.87418675
5654.81455489 0.86665197
5656.56886130 0.85791763
5658.32323788 0.85336440
5660.07768462 0.85396253
5661.83220153 0.85413830
5663.58678860 0.85491286
5665.34144584 0.85583813
5667.09617324 0.85920446
5668.85097081 0.86023475
5670.60583855 0.86096650
5672.36077645 0.86169890
5674.11578451 0.86342608
5675.87086275 0.86519394
5677.62601114 0.86887134
5679.38122971 0.86065181
5681.13651843 0.86692383
5682.89187733 0.84988496
5684.64730639 0.84995674
5686.40280561 0.85002853
5688.15837500 0.85133515
5689.91401456 0.84118317
5691.66972428 0.85020232
5693.42550417 0.87479047
5695.18135422 0.85712188
5696.93727444 0.85380601
5698.69326482 0.84607205
5700.44932537 0.85474729
5702.20545608 0.85474870
5703.96165696 0.85907014
5705.71792801 0.84743957
5707.47426922 0.84780121
5709.23068060 0.84889097
5710.98716214 0.84655080
5712.74371385 0.84695637
5714.50033572 0.84189930
5716.25702776 0.84992584
5718.01378996 0.85803278
5719.77062233 0.83193199
5721.52752487 0.86879431
5723.28449757 0.83478099
5725.04154044 0.83478099
5726.79865347 0.83478099
5728.55583667 0.83478099
5730.31309003 0.86067434
5732.07041356 0.86118593
5733.82780725 0.85833321
5735.58527111 0.85996875
5737.34280514 0.83546264
5739.10040933 0.84353491
5740.85808369 0.84486673
5742.61582821 0.83867086
5744.37364290 0.83910253
5746.13152775 0.84076725
5747.88948277 0.84945520
5749.64750795 0.85164890
5751.40560330 0.85752548
5753.16376882 0.86083850
5754.92200450 0.86083850
5756.68031034 0.86083850
5758.43868636 0.86122791
5760.19713253 0.82915621
5761.95564888 0.83425010
5763.71423539 0.83703878
5765.47289206 0.82160060
5767.23161890 0.82162578
5768.99041590 0.84235792
5770.74928307 0.84310133
5772.50822041 0.84735533
5774.26722791 0.83184338
5776.02630558 0.83223242
5777.78545341 0.84785705
5779.54467141 0.83252616
5781.30395957 0.83271078
5783.06331790 0.83278938
5784.82274640 0.83326855
5786.58224506 0.82613625
5788.34181389 0.83448940
5790.10145288 0.82313720
5791.86116203 0.82449889
5793.62094136 0.82534831
5795.38079084 0.83450608
5797.14071050 0.82388080
5798.90070032 0.82442642
5800.66076030 0.82136830
5802.42089045 0.82176571
5804.18109077 0.83682376
5805.94136125 0.82229163
5807.70170190 0.81772720
5809.46211271 0.81868111
5811.22259369 0.82134621
5812.98314483 0.82262426
5814.74376614 0.82296556
5816.50445761 0.82095720
5818.26521925 0.81569199
5820.02605106 0.81804542
5821.78695303 0.81783779
5823.54792517 0.81942576
5825.30896747 0.81266709
5827.07007994 0.81276327
5828.83126257 0.81970857
5830.59251537 0.83051869
5832.35383833 0.81297785
5834.11523146 0.80260661
5835.87669476 0.80527024
5837.63822822 0.81080772
5839.39983185 0.80651389
5841.16150564 0.80683545
5842.92324960 0.80834775
5844.68506372 0.80097788
5846.44694801 0.79822830
5848.20890246 0.81363685
5849.97092708 0.80707434
5851.73302187 0.80745884
5853.49518682 0.80499840
5855.25742194 0.78949284
5857.01972722 0.78851883
5858.78210267 0.79460568
5860.54454828 0.78447163
5862.30706406 0.78859896
5864.06965000 0.79617740
5865.83230611 0.80344594
5867.59503239 0.79487315
5869.35782883 0.80022877
5871.12069543 0.79572623
5872.88363221 0.79697307
5874.64663914 0.79708837
5876.40971625 0.79845279
5878.17286351 0.80239633
5879.93608095 0.80315561
5881.69936855 0.80391558
5883.46272631 0.81520584
5885.22615424 0.80670629
5886.98965234 0.76755554
5888.75322060 0.74253739
5890.51685903 0.74374287
5892.28056762 0.74378619
5894.04434638 0.74687848
5895.80819530 0.74490400
5897.57211439 0.74966221
5899.33610365 0.75377294
5901.10016307 0.76053857
5902.86429265 0.75796788
5904.62849240 0.76585680
5906.39276232 0.77337672
5908.15710240 0.78550392
5909.92151265 0.80652415
5911.68599307 0.80179564
5913.45054365 0.80671920
5915.21516439 0.80674062
5916.97985530 0.80370153
5918.74461638 0.81127308
5920.50944762 0.80632033
5922.27434902 0.80753516
5924.03932060 0.77912782
5925.80436233 0.77912782
5927.56947424 0.79369609
5929.33465631 0.79369609
5931.09990854 0.78155213
5932.86523094 0.77157729
5934.63062351 0.78155213
5936.39608624 0.78155213
5938.16161914 0.77506162
5939.92722220 0.77310810
5941.69289543 0.77412944
5943.45863882 0.76881314
5945.22445238 0.75991793
5946.99033610 0.76079030
5948.75628999 0.76178771
5950.52231405 0.76291030
5952.28840827 0.77311676
5954.05457265 0.77379072
5955.82080721 0.77705157
5957.58711192 0.77705157
5959.35348681 0.77705157
5961.11993186 0.77705157
5962.88644707 0.77215287
5964.65303245 0.75323283
5966.41968800 0.74820990
5968.18641371 0.74000776
5969.95320958 0.74901835
5971.72007562 0.75492364
5973.48701183 0.75587467
5975.25401821 0.75628536
5977.02109474 0.76350376
5978.78824145 0.76756133
5980.55545832 0.77136595
5982.32274535 0.77287300
5984.09010255 0.77563209
5985.85752992 0.78207227
5987.62502745 0.78251401
5989.39259515 0.78447282
5991.16023301 0.77394622
5992.92794104 0.77394622
5994.69571923 0.75293676
5996.46356759 0.77394622
5998.23148612 0.74926719
5999.99947481 0.74926719
6001.76753366 0.74926719
6003.53566269 0.75034827
6005.30386187 0.73800089
6007.07213123 0.73641214
6008.84047074 0.72970863
6010.60888043 0.73144095
6012.37736028 0.73912699
6014.14591029 0.75813470
6015.91453047 0.74122500
6017.68322082 0.74284868
6019.45198133 0.76266111
6021.22081201 0.76892284
6022.98971285 0.76453679
6024.75868386 0.75018235
6026.52772503 0.74953358
6028.29683637 0.75135254
6030.06601787 0.75174440
6031.83526955 0.74503533
6033.60459138 0.74503948
6035.37398338 0.75300818
6037.14344555 0.74637671
6038.91297788 0.74637671
6040.68258038 0.74094534
6042.45225304 0.74184718
6044.22199587 0.74375965
6045.99180887 0.74387196
6047.76169203 0.74463109
6049.53164535 0.74590915
6051.30166884 0.74658477
6053.07176250 0.73647811
6054.84192632 0.72468534
6056.61216031 0.72646404
6058.38246446 0.75884706
6060.15283878 0.75899658
6061.92328327 0.72607562
6063.69379792 0.72794577
6065.46438273 0.73040898
6067.23503771 0.73946219
6069.00576286 0.73737139
6070.77655817 0.73230871
6072.54742365 0.73230871
6074.31835929 0.72069398
6076.08936510 0.71236215
6077.86044107 0.71413995
6079.63158721 0.71559904
6081.40280352 0.72405421
6083.17408999 0.72433922
6084.94544663 0.72544222
6086.71687343 0.72639075
6088.48837040 0.72745588
6090.25993753 0.72734933
6092.03157483 0.72909824
