6510.01 0.0106221 0
6510.05 0.0108782 0
6510.08 0.0115022 0
6510.12 0.0121074 0
6510.16 0.0125427 0
6510.2 0.0126752 0
6510.23 0.0120529 0
6510.27 0.0111203 0
6510.31 0.00994998 0
6510.35 0.00880563 0
6510.38 0.00805508 0
6510.42 0.00777007 0
6510.46 0.00835256 0
6510.49 0.00968271 0
6510.53 0.0116444 0
6510.57 0.014017 0
6510.61 0.0159621 0
6510.64 0.0173047 0
6510.68 0.0177857 0
6510.72 0.0172702 0
6510.76 0.0168869 0
6510.79 0.0167074 0
6510.83 0.0166661 0
6510.87 0.0168454 0
6510.9 0.0168664 0
6510.94 0.016578 0
6510.98 0.0166682 0
6511.02 0.0176545 0
6511.05 0.0183688 0
6511.09 0.0183943 0
6511.13 0.0178594 0
6511.17 0.0159575 0
6511.2 0.013804 0
6511.24 0.0114788 0
6511.28 0.00930329 0
6511.32 0.00766388 0
6511.35 0.00629047 0
6511.39 0.00519262 0
6511.43 0.00428189 0
6511.47 0.00359174 0
6511.5 0.00302886 0
6511.54 0.00248658 0
6511.58 0.00177698 0
6511.61 0.000385107 0
6511.65 -0.00212284 0
6511.69 -0.00690415 0
6511.73 -0.0148339 0
6511.76 -0.0268807 0
6511.8 -0.0441709 0
6511.84 -0.0630555 0
6511.88 -0.083857 0
6511.91 -0.101666 0
6511.95 -0.114128 0
6511.99 -0.123257 0
6512.02 -0.125632 0
6512.06 -0.126887 0
6512.1 -0.125446 0
6512.14 -0.123104 0
6512.17 -0.118469 0
6512.21 -0.111611 0
6512.25 -0.099292 0
6512.29 -0.0851164 0
6512.32 -0.0680103 0
6512.36 -0.051091 0
6512.4 -0.0366347 0
6512.44 -0.0242496 0
6512.47 -0.0156492 0
6512.51 -0.00935507 0
6512.55 -0.00514594 0
6512.58 -0.00289982 0
6512.62 -0.00340958 0
6512.66 -0.00611517 0
6512.7 -0.00992737 0
6512.73 -0.0139059 0
6512.77 -0.0146796 0
6512.81 -0.0120369 0
6512.85 -0.00855996 0
6512.88 -0.00435051 0
6512.92 -0.00177504 0
6512.96 -0.0015786 0
6512.99 -0.00163821 0
6513.03 -0.00211682 0
6513.07 -0.00235507 0
6513.11 -0.00210645 0
6513.14 -0.00161699 0
6513.18 -0.000551489 0
6513.22 0.000489736 0
6513.26 0.00147174 0
6513.29 0.00147066 0
6513.33 -0.00109957 0
6513.37 -0.00486901 0
6513.4 -0.0109301 0
6513.44 -0.0175158 0
6513.48 -0.0241143 0
6513.52 -0.029634 0
6513.56 -0.0319144 0
6513.59 -0.0318114 0
6513.63 -0.0285523 0
6513.67 -0.0236323 0
6513.7 -0.0189277 0
6513.74 -0.0147865 0
6513.78 -0.0121954 0
6513.82 -0.0108786 0
6513.85 -0.00953403 0
6513.89 -0.00825828 0
6513.93 -0.00743972 0
6513.97 -0.00754201 0
6514 -0.00982387 0
6514.04 -0.0154586 0
6514.08 -0.023249 0
6514.11 -0.0346481 0
6514.15 -0.0462464 0
